Date,Crop,Price,MarketDemand
2025-09-03,Sugarcane,18,355
2025-09-04,Sugarcane,20,365
2025-09-05,Sugarcane,19,360
2025-09-06,Sugarcane,18,355
2025-09-07,Sugarcane,19,360
2025-09-08,Sugarcane,20,365
2025-09-09,Sugarcane,19,360
2025-09-10,Sugarcane,18,355
2025-09-11,Sugarcane,19,360
2025-09-12,Sugarcane,20,365
2025-09-13,Sugarcane,19,360
2025-09-14,Sugarcane,18,355
2025-09-15,Sugarcane,19,360
2025-09-16,Sugarcane,20,365
2025-09-17,Sugarcane,21,370
2025-09-18,Sugarcane,19,360
2025-09-19,Sugarcane,18,355
2025-09-20,Sugarcane,19,360
2025-09-01,Cotton,45,300
2025-09-02,Cotton,46,310
2025-09-03,Cotton,44,305
2025-09-04,Cotton,47,315
2025-09-05,Cotton,46,310
2025-09-06,Cotton,45,305
2025-09-07,Cotton,44,300
2025-09-08,Cotton,45,305
2025-09-09,Cotton,46,310
2025-09-10,Cotton,47,315
2025-09-11,Cotton,46,310
2025-09-12,Cotton,45,305
2025-09-13,Cotton,44,300
2025-09-14,Cotton,45,305
2025-09-15,Cotton,46,310
2025-09-16,Cotton,47,315
2025-09-17,Cotton,48,320
2025-09-18,Cotton,46,310
2025-09-19,Cotton,45,305
2025-09-20,Cotton,44,300
